"Interview_difficulty","Interview_experience","Offer","Company_name","Referral","process_time","sector"
"Easy Interview","Positive Experience","No Offer","Wells Fargo","Online",NA,"Banking"
NA,NA,"Offer","Wells Fargo",NA,NA,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",28,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","College Or University",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",28,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","College Or University",1,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","College Or University",21,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","College Or University",28,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",42,"Banking"
"Average Interview","Negative Experience","No Offer","Wells Fargo","Online",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",5,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
NA,NA,"Offer","Wells Fargo",NA,NA,"Banking"
NA,"Neutral Experience","No Offer","Wells Fargo",NA,NA,"Banking"
"Easy Interview","Neutral Experience","No Offer","Wells Fargo","Online",7,"Banking"
"Easy Interview","Positive Experience","No Offer","Wells Fargo",NA,14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Employee Referral",3,"Banking"
"Average Interview","Negative Experience","No Offer","Wells Fargo","Employee Referral",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Other Source",7,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",14,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","Employee Referral",14,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Difficult Interview","Negative Experience","No Offer","Wells Fargo","Online",28,"Banking"
"Easy Interview","Neutral Experience","No Offer","Wells Fargo","Online",14,"Banking"
"Difficult Interview","Negative Experience","No Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",21,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","Online",7,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",4,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","Online",NA,"Banking"
NA,NA,"No Offer","Wells Fargo","Online",2,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Negative Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo",NA,NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Wells Fargo","Online",2,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",28,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",3,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Easy Interview","Neutral Experience","No Offer","Wells Fargo","Online",5,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Employee Referral",2,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",7,"Banking"
"Average Interview",NA,"Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Other Source",3,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","In-Person",42,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","Online",28,"Banking"
"Average Interview",NA,"No Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",5,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",4,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","Online",28,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Difficult Interview","Negative Experience","No Offer","Wells Fargo","Online",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo",NA,2,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo",NA,4,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","Online",2,"Banking"
"Average Interview","Negative Experience","No Offer","Wells Fargo","Online",3,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","Online",1,"Banking"
"Difficult Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","Online",14,"Banking"
"Average Interview",NA,"Offer","Wells Fargo","Online",2,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","Online",14,"Banking"
"Average Interview",NA,"No Offer","Wells Fargo","In-Person",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Wells Fargo","In-Person",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",1,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo",NA,4,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo",NA,4,"Banking"
"Difficult Interview","Negative Experience","Offer","Wells Fargo","Online",21,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo",NA,NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Recruiter",NA,"Banking"
"Easy Interview","Positive Experience","No Offer","Wells Fargo","Recruiter",4,"Banking"
"Easy Interview","Positive Experience","No Offer","Wells Fargo","Online",7,"Banking"
"Average Interview","Negative Experience","Offer","Wells Fargo","Online",42,"Banking"
NA,NA,"No Offer","Wells Fargo",NA,NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","Online",14,"Banking"
NA,NA,"Offer","Wells Fargo","Other Source",5,"Banking"
NA,NA,"Offer","Wells Fargo","Online",21,"Banking"
NA,"Negative Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","Online",21,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",7,"Banking"
NA,NA,"Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",7,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",7,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","Online",14,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Employee Referral",14,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",14,"Banking"
"Difficult Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Easy Interview","Positive Experience","No Offer","Wells Fargo","Online",NA,"Banking"
"Easy Interview","Negative Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Easy Interview","Negative Experience","Offer","Wells Fargo","Online",14,"Banking"
"Difficult Interview","Neutral Experience","Offer","Wells Fargo","In-Person",2,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","In-Person",4,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",28,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",5,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo",NA,NA,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",7,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","Online",3,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Recruiter",7,"Banking"
"Difficult Interview","Positive Experience","Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","College Or University",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Wells Fargo","Online",21,"Banking"
"Difficult Interview","Neutral Experience","Offer","Wells Fargo","Online",42,"Banking"
"Difficult Interview","Positive Experience","No Offer","Wells Fargo","Online",28,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Recruiter",5,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Negative Experience","No Offer","Wells Fargo",NA,7,"Banking"
"Average Interview","Negative Experience","Offer","Wells Fargo","Online",5,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","Online",60,"Banking"
NA,"Positive Experience","Offer","Wells Fargo","Recruiter",42,"Banking"
"Average Interview","Negative Experience","No Offer","Wells Fargo","Online",14,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","College Or University",21,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",NA,"Banking"
"Easy Interview","Positive Experience","No Offer","Wells Fargo","College Or University",2,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","College Or University",60,"Banking"
NA,NA,"No Offer","Wells Fargo",NA,NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Wells Fargo","College Or University",21,"Banking"
"Easy Interview","Positive Experience","No Offer","Wells Fargo","College Or University",21,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","College Or University",14,"Banking"
"Average Interview","Positive Experience","Offer","HSBC","Staffing Agency",1,"Banking"
NA,"Positive Experience","Offer","HSBC",NA,NA,"Banking"
"Difficult Interview","Positive Experience","Offer","HSBC","Online",14,"Banking"
"Difficult Interview","Neutral Experience","Offer","HSBC",NA,NA,"Banking"
"Average Interview","Negative Experience","No Offer","HSBC","In-Person",5,"Banking"
"Easy Interview","Positive Experience","Offer","HSBC","Employee Referral",1,"Banking"
"Average Interview","Positive Experience","No Offer","HSBC","College Or University",1,"Banking"
"Easy Interview","Negative Experience","No Offer","HSBC","Recruiter",1,"Banking"
"Difficult Interview","Positive Experience","Offer","HSBC","Staffing Agency",1,"Banking"
"Average Interview","Positive Experience","Offer","HSBC","Online",2,"Banking"
"Average Interview","Positive Experience","Offer","HSBC",NA,NA,"Banking"
"Easy Interview","Positive Experience","Offer","HSBC","Employee Referral",2,"Banking"
"Difficult Interview","Positive Experience","Offer","HSBC","College Or University",1,"Banking"
"Average Interview","Positive Experience","Offer","HSBC","College Or University",2,"Banking"
"Average Interview","Positive Experience","Offer","HSBC","College Or University",2,"Banking"
"Average Interview","Neutral Experience","No Offer","HSBC","College Or University",2,"Banking"
"Average Interview","Positive Experience","Offer","HSBC","College Or University",1,"Banking"
